ID,Zimmer,Quadratmet,Preis,PLZ,Adresse,AdressePLZ,City,Canton,Country,result_num,osm_id,display_na,category,type,latlong,full_id,osm_id_2,osm_type,railway,layer,start_date,name:ja,light_rail,local_ref,network:wikidata,ref_name,nat_name,old_name,wheelchair:description,level,tactile_paving,wheelchair,uic_ref,uic_name,tram,ref,public_transport,operator,network,name,ele,n,distance,feature_x,feature_y,nearest_x,nearest_y
"21","3","81","1970","8038",Kilchbergsteig 2,"Kilchbergsteig 2, 8038",Zurich,Zurich,Switzerland,"0","4237490092","Kimberly Beauty, 2, Kilchbergsteig, Wollishofen, Kreis 2, Zürich, Bezirk Zürich, Zürich, 8038, Schweiz/Suisse/Svizzera/Svizra",shop,beauty,"47.3440685,8.5322441",n4885862783,"4885862783",node,tram_stop,,,,,,,,,Post Wollishofen,,,,,"8591304","Zürich, Renggerstrasse",yes,"2005",stop_position,VBZ,ZVV,Renggerstrasse,"413","1",0.000941327875928829,8.5322441,47.3440685,8.5330182,47.3446041
"22","3","87","2220","8038",Kilchbergsteig 4,"Kilchbergsteig 4, 8038",Zurich,Zurich,Switzerland,"0","110593242","4, Kilchbergsteig, Wollishofen, Kreis 2, Zürich, Bezirk Zürich, Zürich, 8038, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.3437214,8.53245575",n4885862783,"4885862783",node,tram_stop,,,,,,,,,Post Wollishofen,,,,,"8591304","Zürich, Renggerstrasse",yes,"2005",stop_position,VBZ,ZVV,Renggerstrasse,"413","1",0.00104666579790172,8.53245575,47.3437214,8.5330182,47.3446041
"23","3","72","2710","8004",Weberstrasse 10,"Weberstrasse 10, 8004",Zurich,Zurich,Switzerland,"0","6495350767","LAMIR International GmbH, 10, Weberstrasse, Werd, Kreis 4, Zürich, Bezirk Zürich, Zürich, 8004, Schweiz/Suisse/Svizzera/Svizra",amenity,car_rental,"47.3706235,8.5286468",n2308617769,"2308617769",node,tram_stop,,,,,,,,,,,,,,"8591381","Zürich, Stauffacher",yes,"2556",stop_position,VBZ,ZVV,Stauffacher,"411","1",0.00225655147736761,8.5286468,47.3706235,8.5291944,47.3728126
"24","3","84","2400","8038",Kilchbergsteig 4,"Kilchbergsteig 4, 8038",Zurich,Zurich,Switzerland,"0","110593242","4, Kilchbergsteig, Wollishofen, Kreis 2, Zürich, Bezirk Zürich, Zürich, 8038, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.3437214,8.53245575",n4885862783,"4885862783",node,tram_stop,,,,,,,,,Post Wollishofen,,,,,"8591304","Zürich, Renggerstrasse",yes,"2005",stop_position,VBZ,ZVV,Renggerstrasse,"413","1",0.00104666579790172,8.53245575,47.3437214,8.5330182,47.3446041
"25","3","91","3950","8038",Mutschellenstrasse 47,"Mutschellenstrasse 47, 8038",Zurich,Zurich,Switzerland,"0","108519915","47, Mutschellenstrasse, Wollishofen, Kreis 2, Zürich, Bezirk Zürich, Zürich, 8038, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.3517088,8.527526816389667",n4885862781,"4885862781",node,tram_stop,,,,,,,,,,,,,,"8591082","Zürich, Billoweg",yes,"488",stop_position,VBZ,ZVV,Billoweg,"413","1",0.00442506184197245,8.52752681638967,47.3517088,8.5319462,47.3514847
"26","3","86","6970","8004",Cramerstrasse 8-12,"Cramerstrasse 8-12, 8004",Zurich,Zurich,Switzerland,"0","5944787","Cramerstrasse, Werd, Kreis 4, Zürich, Bezirk Zürich, Zürich, 8004, Schweiz/Suisse/Svizzera/Svizra",highway,residential,"47.3732762,8.5260791",n2275787444,"2275787444",node,tram_stop,,,,,,Q201977,,,,,,,yes,"8591079","Zürich, Bezirksgebäude",yes,"478",stop_position,VBZ,ZVV,Bezirksgebäude,"411","1",0.000740540046185204,8.5260791,47.3732762,8.5258741,47.3739878
"27","3","78","6220","8003",Rotachstrasse 33,"Rotachstrasse 33, 8003",Zurich,Zurich,Switzerland,"0","55757953","33, Rotachstrasse, Sihlfeld, Kreis 3, Zürich, Bezirk Zürich, Zürich, 8003, Schweiz/Suisse/Svizzera/Svizra",building,yes,"47.370805649999994,8.514761418968668",n4881705889,"4881705889",node,tram_stop,,,,,,,,,,,,,,"8502572","Zürich, Goldbrunnenplatz",yes,"1012",stop_position,VBZ,ZVV,Goldbrunnenplatz,"421","1",0.000788414385056689,8.51476141896867,47.37080565,8.5141504,47.3703074
"28","3","51","5050","8045",Wolframplatz 1,"Wolframplatz 1, 8045",Zurich,Zurich,Switzerland,"0","238894521","Züri drü Boardinghouse, 1, Wolframplatz, Alt-Wiedikon, Kreis 3, Zürich, Bezirk Zürich, Zürich, 8045, Schweiz/Suisse/Svizzera/Svizra",building,residential,"47.3622153,8.522196068843808",n2456957719,"2456957719",node,tram_stop,,,,,,,,,Utobrücke,,,,,"8591366","Zürich, Sihlcity Nord",yes,"2771",stop_position,VBZ,ZVV,Sihlcity Nord,"420","1",0.00237487181730025,8.52219606884381,47.3622153,8.5228083,47.3599207
"29","3","89","2980","8045",Eibenstrasse 4,"Eibenstrasse 4, 8045",Zurich,Zurich,Switzerland,"0","343991225","4, Eibenstrasse, Alt-Wiedikon, Kreis 3, Zürich, Bezirk Zürich, Zürich, 8045, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.36377245,8.521677799999999",n2456957719,"2456957719",node,tram_stop,,,,,,,,,Utobrücke,,,,,"8591366","Zürich, Sihlcity Nord",yes,"2771",stop_position,VBZ,ZVV,Sihlcity Nord,"420","1",0.00401422574258923,8.5216778,47.36377245,8.5228083,47.3599207
"30","3","46","2850","8004",Hildastrasse 1,"Hildastrasse 1, 8004",Zurich,Zurich,Switzerland,"0","2953859234","1, Hildastrasse, Hard, Kreis 4, Zürich, Bezirk Zürich, Zürich, 8004, Schweiz/Suisse/Svizzera/Svizra",place,house,"47.3762494,8.5161873",n2277024777,"2277024777",node,tram_stop,,,,,,Q201977,,,,,,,yes,"8591259","Zürich, Lochergut",yes,"1579",stop_position,VBZ,ZVV,Lochergut,"412","1",0.00126193784712332,8.5161873,47.3762494,8.517227,47.3755342
