Zimmer,Quadratmeter,Preis,Adresse,PLZ,Ort
1.0,33,1780,Kilchbergsteig 2,8038,Zürich
3.5,180,6350,,,
4.5,200,3820,Weierstrasse 119,8405,Winterthur
3.5,48,2980,Margrit-Rainer-Strasse 11C,8050,Zürich
2.5,53,3620,Waldstr. 10,8702,Zollikon
2.0,41,2100,Im Grund 6,8910,Affoltern am Albis
2.0,13,1410,Weiningerstrasse 46,8103,Unterengstringen
2.5,130,4290,,,
3.5,,2670,Mooswiesenweg 3,8404,Winterthur
2.5,120,5310,,,
2.5,130,5110,Mülibachstrasse 1,8805,Richterswil
2.5,47,2810,Dachslernstrasse 184,8048,Zürich
2.5,130,4520,,,
3.5,190,3690,Murzlenstrasse 5,8166,Niederweningen
3.5,140,3760,Im Ahorn 12,8125,Zollikerberg
3.5,120,2360,Landvogt Waser-Strasse 94,8405,Winterthur
3.5,160,4740,,,
2.0,32,2480,Seestrasse 120,8820,Wädenswil
3.5,61,2720,Hofmattweg 7,8915,Hausen am Albis
3.5,210,4510,Stäpfetlistrasse 7,8606,Werrikon
3.5,140,6110,Allenmoosstrasse 60,8057,Zürich
2.0,140,2920,Seuzacherstrasse 114,8474,Dinhard
2.5,52,3430,Sonnenbühlstrasse 2,8181,Höri
2.5,20,2460,Sonnenbühlstrasse 2,8181,Höri
1.0,,2520,Glatttalstrasse 175,8153,Rümlang
3.5,26,3330,Heinrichstrasse 83,8005,Zürich
3.5,,2260,Grossackerstrasse 102,8041,Zürich
2.5,43,2630,Webereistrasse 7,8192,Glattfelden
2.5,49,2720,,,
2.5,43,2460,Schachemerstrasse 13,8192,Glattfelden
3.5,210,6220,Trottensteig 5,8180,Bülach
1.0,34,2170,Kilchbergsteig 4,8038,Zürich
2.5,54,3050,Auhofstrasse 5,8051,Zürich
3.5,120,5420,Sonnentalstrasse 13,8600,Dübendorf
2.5,120,3260,Usterstrasse 46,8620,Wetzikon
3.5,30,4010,Badenerstrasse 250,8004,Zürich
2.0,9,410,Im Tubental 4,8352,Elsau
2.0,37,2300,Obstgartenstrasse 19,8105,Regensdorf
2.0,20,2230,Friesenbergstrasse 108,8055,Zürich
2.5,53,4280,Allenmoosstrasse 60,8057,Zürich
2.0,42,1640,Glärnischstrasse 7,8632,Tann
2.0,22,2390,Pestalozzistrasse 38,8032,Zürich
2.0,48,2520,Archengässli 3,8304,Wallisellen
2.5,45,1910,Eilweg 6,8634,Hombrechtikon
2.5,35,2440,Brauerstrasse 27,8004,Zürich
3.5,,2760,Bahnhofstrasse 268,8623,Wetzikon ZH
2.5,,9420,Kappelistrasse 6,8703,Erlenbach ZH
2.5,,10410,Kappelistrasse 6,8703,Erlenbach ZH
3.5,,4790,Birchlenstrasse 25,8600,Dübendorf
3.5,140,3400,Baumgartenstr. 4,8902,Urdorf
2.5,48,2260,Kanalweg 2,8610,Uster
3.5,33,2570,Zugerstrasse 1,8820,Wädenswil
2.5,45,2410,Ifangweg 3,8610,Uster
2.5,170,4600,Oberalbis 28,8915,Hausen am Albis
