Zimmer,Quadratmeter,Preis,Adresse,PLZ,Ort
2.5,220,12700,,,
3.5,220,4920,Steinbaumstrasse 24,8925,Ebertswil
3.5,150,3360,Toggenburgstrasse,8245,Feuerthalen
2.0,47,2160,Hegifeldstrasse 72,8404,Reutlingen (Winterthur)
3.5,170,5370,Loomattstrasse 18B,8143,Stallikon
2.0,42,2460,Gottlieb Bachmann-Strasse 2,8824,Schönenberg ZH
3.5,140,5820,Im Tobel 5,8706,Meilen
3.5,58,3980,Rotfluhstrasse 31,8702,Zollikon
3.5,61,3040,Im Gatter 6,8121,Benglen
3.5,210,4920,Kirchrain,8824,Wädenswil
2.5,49,4270,Bucheggstrasse 21,8037,Zürich
3.5,190,5240,Sternenstrasse 18A,8903,Birmensdorf
2.5,170,8400,Sonneggstrasse 45,8006,Zürich
3.5,140,7750,Wartauweg 19,8049,Zürich
2.5,57,6450,Wartauweg 19,8049,Zürich
3.5,160,4660,Grundstrasse 17,8600,Dübendorf
3.5,140,3330,Ankengasse 5,8902,Urdorf
3.5,61,3880,Leutschenbachstrasse 85,8052,Zürich
3.5,62,2860,Im Dörfli,8706,Meilen
2.0,17,1290,"Leepüntstrasse 18, 18",8600,Dübendorf
2.5,45,2770,Haldenstrasse 23,8134,Adliswil
,,,,,
3.5,51,2930,Badenerstrasse 843,8048,Zürich
1.0,29,3860,Schaffhauserstr. 438,8050,Zürich
3.5,37,3490,Waidstrasse 34,8037,Zürich
,160,3820,Schärenmoostrasse 80,8052,Zürich
2.0,54,4530,Baslerstrasse 77,8048,Zürich
2.0,120,4620,Toblerstrasse 10,8044,Zürich
3.5,54,3070,Giesshübelstrasse 86,8045,Zürich
2.5,56,4780,Haldenstrasse 14,8045,Zürich
3.5,56,3350,Eierbrechtstrasse 59/61,8053,Zürich
3.5,37,2300,Breitigasse 11,8610,Uster
3.5,120,2910,Tösstalstrasse 109,8486,Rikon im Tösstal
3.5,150,3040,Tösstalstrasse 109,8486,Rikon im Tösstal
2.5,55,3020,Felsenrainstrasse 73,8052,Zürich
1.0,34,2270,Steiggasse 4,8400,Winterthur
2.0,57,2650,Brandstr. 5,8340,Hinwil
1.0,33,2680,Rotbühlstrasse 5,8810,Horgen
2.5,52,2680,Hofstrasse 11,8634,Hombrechtikon
3.5,200,3990,Schwandenholzstrasse 262,8046,Zürich
2.5,61,5450,Seefeldstrasse 40,8008,Zürich
2.5,45,2400,Schützenstrasse 40,8400,Winterthur
3.5,39,2040,Einsiedlerstrasse 45,8810,Horgen
3.5,51,5180,Rietstrasse 16,8703,Erlenbach
2.5,39,2470,Eichliackerstrasse 73,8406,Winterthur
2.5,120,6410,Sonnentalstrasse 13,8600,Dübendorf
3.5,140,5210,Käferholzstrasse 42,8057,Zürich
2.5,120,5150,Sonnentalstrasse 13,8600,Dübendorf
3.5,180,6580,Bremgartnerstrasse 51,8003,Zürich
2.5,61,5060,Alte Landstrasse 139,8804,Au ZH
3.5,49,4090,Alte Landstrasse 137,8804,Au ZH
3.5,39,3140,Lerchenhalde 1,8703,Erlenbach
,140,4770,Schärenmoostrasse 80,8052,Zürich
3.5,130,2970,Moosbrunnenstrasse 7,8426,Lufingen
1.0,34,3010,Wildbachstrasse 60,8008,Zürich
3.5,140,6110,Alte Landstrasse 147,8804,Au ZH
2.0,48,2390,Einsiedlerstrasse 37,8810,Horgen
,43,2780,Schärenmoostrasse 80,8052,Zürich
,150,3520,Schärenmoostrasse 80,8052,Zürich
,54,3260,Schärenmoostrasse 80,8052,Zürich
2.0,140,5130,Alte Dorfstrasse 52,8704,Herrliberg
2.0,44,4080,Pfirsichstrasse 7,8006,Zürich
2.0,44,4080,Pfirsichstrasse 9,8006,Zürich
2.5,46,4080,Bahnweg 8,8134,Adliswil
3.5,120,4510,Giblenstrasse 55,8049,Zürich
2.5,140,4510,Giblenstrasse 55,8049,Zürich
3.5,48,2630,Neugutstrasse 24,8102,Oberengstringen
3.5,49,3700,Melchrütistrasse 10,8304,Wallisellen
2.5,130,3760,Stadthausstrasse 12,8400,Winterthur
2.5,24,2550,Südstrasse 3,8008,Zürich
2.0,18,2060,Zelgstrasse 41,8003,Zürich
2.5,25,2010,Überlandstrasse 465,8051,Zürich
3.5,130,3350,Bahnhofstrasse 23,8320,Fehraltorf
2.5,45,3300,Höflistrasse 65A,8135,Langnau am Albis
2.5,52,5010,Heuelsteig 7b,8032,Zürich
2.5,130,3640,Obstgartenstr. 20,8136,Gattikon
3.5,180,4110,Winterthurerstr. 11,8180,Bülach
3.5,180,6110,Tobelhofstr. 23a,8044,Zürich
2.5,58,4240,Grimselstrasse 26,8048,Zürich
2.5,54,3360,Carl-Spitteler-Strasse 21,8053,Zürich
3.5,190,6410,Seestrasse 409,8706,Meilen
2.0,220,10300,Seestrasse 409,8706,Meilen
4.5,290,7740,Seestrasse 409,8706,Meilen
2.5,120,3580,Seebüelstrasse 9,8185,Winkel
2.5,50,2350,Wassbergstrasse 37,8127,Forch
3.5,140,4940,Edisonstrasse 5,8050,Zürich
3.5,210,3400,Huebwiesenstrasse 20,8954,Geroldswil
2.0,52,3390,Im Brächli 43,8053,Zürich
2.0,46,3560,Langgrütstrasse 103,8047,Zürich
